current_gpa,attendance_rate,study_hours_per_week,financial_stress,mental_health_score,part_time_job,parental_support,dropout_risk
2.81,58.3,3.1,8,6,Yes,high,0.45
3.41,75.4,,2,10,Yes,medium,0.24
2.95,60.3,5.4,5,10,Yes,high,0.31
3.15,96.7,33.2,6,6,No,medium,0.29
2.43,90.7,10.8,1,9,No,medium,0.21
1.93,64.5,5.1,9,9,No,low,0.51
3.28,80.7,7.3,2,6,No,medium,0.24
1.79,66.6,19.3,6,3,Yes,medium,0.55
3.76,52.2,1.2,2,8,No,medium,0.25
3.13,68.6,18.2,6,2,No,medium,0.42
3.0,73.9,7.3,6,3,Yes,medium,0.45
3.52,80.1,11.1,6,3,Yes,high,0.35
4.0,69.6,25.9,5,3,No,high,0.28
3.47,64.0,3.7,9,7,No,low,0.45
,50.0,18.7,1,10,No,LOW,0.21
2.34,63.7,9.6,7,7,Yes,medium,0.48
1.68,80.5,7.7,8,7,Yes,medium,0.5
2.38,78.9,19.3,10,4,No,high,0.44
2.19,66.4,22.2,2,3,No,low,0.44
3.47,66.8,10.0,8,9,Yes,medium,0.39
2.14,84.1,15.3,10,3,Yes,medium,0.56
1.37,100.0,20.7,8,3,No,medium,0.48
2.39,79.1,15.0,1,7,Yes,low,0.37
3.28,,23.4,1,3,Yes,medium,0.36
2.34,49.5,33.1,4,2,Yes,medium,0.53
2.97,85.1,15.0,10,6,No,medium,0.41
1.8,57.6,21.5,8,7,No,medium,0.5
3.06,75.7,15.8,9,3,Yes,medium,0.5
3.54,98.5,13.5,7,1,Yes,low,0.46
2.81,89.6,12.8,10,3,No,high,0.41
2.93,89.7,11.1,9,8,Yes,low,0.45
3.4,65.4,18.8,4,1,Yes,medium,0.44
1.95,75.7,26.0,1,2,Yes,medium,0.43
3.44,54.7,20.8,1,9,No,high,0.18
4.0,75.2,10.2,2,3,Yes,low,0.36
2.47,84.7,16.3,9,9,Yes,medium,0.43
1.43,91.2,5.7,10,8,Yes,medium,0.51
3.37,75.4,16.9,8,1,Yes,medium,0.5
2.47,74.2,16.4,7,10,No,high,0.3
1.82,95.2,7.0,5,9,No,high,0.26
2.7,78.5,12.6,3,9,Yes,low,0.36
2.88,84.7,12.7,10,6,No,low,0.47
3.48,,9.1,3,6,No,medium,0.29
3.91,66.1,21.3,6,3,No,low,0.42
2.58,60.0,12.9,1,10,No,low,0.31
,52.8,25.5,3,5,No,LOW,0.37
1.99,50.6,15.3,7,7,No,high,0.43
3.01,100.0,26.5,6,3,Yes,low,0.44
3.03,76.2,10.7,4,2,No,low,0.42
2.45,91.4,17.3,4,5,No,low,0.37
3.15,65.6,10.9,5,8,Yes,low,0.42
2.86,78.5,4.1,6,7,Yes,medium,0.39
2.4,91.6,9.7,4,5,No,medium,0.33
3.16,100.0,13.2,4,6,Yes,high,0.24
2.29,77.9,11.1,8,10,Yes,medium,0.42
1.83,83.6,19.1,2,9,Yes,low,0.38
3.52,90.8,17.6,9,1,Yes,medium,0.47
2.93,52.5,15.9,1,1,No,medium,0.39
1.81,100.0,21.5,3,9,Yes,high,0.26
2.46,69.5,9.2,4,1,No,high,0.39
2.41,86.3,16.4,2,2,No,medium,0.34
0.97,87.4,22.0,8,8,Yes,high,0.46
3.23,78.8,16.8,4,4,No,medium,0.32
2.92,58.1,11.8,3,10,No,low,0.33
3.35,63.1,22.7,3,6,Yes,medium,0.35
1.49,49.3,17.2,7,6,No,medium,0.53
2.17,87.3,18.2,5,10,Yes,medium,0.35
1.96,70.1,2.8,9,9,No,low,0.5
4.0,67.3,7.0,9,4,No, Medium,0.4
2.16,59.8,13.3,7,6,Yes,medium,0.52
2.91,100.0,17.1,2,5,Yes,low,0.33
2.85,77.9,18.6,7,7,No,medium,0.36
2.23,77.7,17.7,9,10,Yes,medium,0.45
3.63,68.3,25.7,4,8,No,medium,0.26
3.95,68.3,9.5,5,7,Yes,low,0.38
3.58,86.4,11.9,7,10,Yes,medium,0.3
3.54,72.0,4.0,5,8,Yes,medium,0.33
1.6,72.5,5.6,4,3,Yes,medium,0.5
2.79,96.3,11.0,9,9,Yes,medium,0.38
2.97,58.2,18.1,6,1,Yes,low,0.57
3.54,53.9,18.8,3,2,Yes,low,0.47
2.63,35.2,19.2,1,5,Yes,medium,0.44
2.11,60.2,17.1,1,1,No,medium,0.42
3.6,82.2,16.4,8,3,No,medium,0.38
2.21,100.0,19.7,9,8,No,medium,0.37
3.61,98.7,8.4,6,8,No,medium,0.23
3.9,71.7,6.0,5,2,No,low,0.4
3.16,55.8,10.1,8,5,No,medium,0.45
2.05,80.2,14.0,1,6,Yes,high,0.3
2.3,75.9,22.1,9,1,No,medium,0.53
1.35,84.8,16.3,3,8,Yes,low,0.44
3.06,52.1,11.3,1,4,No,high,0.29
3.76,65.2,15.1,8,6,No,medium,0.37
2.48,83.7,19.6,5,7,No,medium,0.33
3.05,,11.7,9,6,Yes,medium,0.53
4.0,84.6,14.0,7,6,Yes,medium,0.34
2.11,84.3,23.5,5,6,Yes,low,0.47
3.83,84.5,12.7,6,4,Yes,medium,0.36
2.46,100.0,6.5,2,8,No,medium,0.22
2.85,65.1,14.8,6,3,No,low,0.48
4.0,92.5,16.0,5,6,Yes,low,0.33
2.12,66.6,29.4,8,6,Yes,medium,0.52
4.0,91.1,18.8,7,4,Yes,medium,0.35
3.37,77.9,18.9,3,4,Yes,low,0.39
2.24,91.8,2.7,1,8,No,low,0.28
2.11,56.2,16.7,1,1,Yes,LOW,0.53
2.89,100.0,23.7,8,3,No,high,0.33
2.25,87.3,23.3,1,7,No,medium,0.26
3.25,54.0,15.4,3,1,Yes,low,0.51
2.38,67.0,11.6,8,1,Yes,medium,0.58
2.48,79.1,24.2,4,1,No,medium,0.41
1.83,85.6,,2,5,Yes,high,0.34
3.01,85.4,9.1,1,1,No,high,0.25
1.74,60.8,23.6,4,5,No,high,0.39
2.95,58.8,10.8,10,4,No,low,0.56
2.79,62.5,11.2,9,4,No,medium,0.49
3.38,65.2,11.6,3,8,Yes,high,0.27
2.71,91.0,13.7,1,2,Yes,low,0.39
2.88,77.8,16.9,3,8,No,medium,0.27
3.26,72.8,12.7,3,6,Yes,high,0.28
2.06,72.6,26.3,7,1,Yes,high,0.51
4.0,51.2,8.8,9,7,Yes,medium,0.45
3.32,87.5,26.8,5,7,Yes,high,0.27
2.65,,12.6,8,1,No,medium,0.48
3.07,70.4,18.1,6,10,Yes,medium,0.35
2.85,67.5,17.0,6,6,No,medium,0.38
2.73,80.1,20.3,8,9,Yes,medium,0.4
2.3,77.8,17.9,5,5,No,medium,0.39
3.23,68.1,9.7,1,5,No,low,0.32
,82.9,22.6,10,5,No,medium,0.45
3.37,55.7,19.2,2,3,Yes,low,0.45
3.34,85.5,14.6,9,1,Yes,medium,0.49
3.98,71.7,4.3,10,9,Yes,low,0.44
3.16,78.0,14.9,6,3,Yes,medium,0.43
3.78,100.0,19.5,9,2,Yes,medium,0.41
3.33,78.4,22.4,1,7,No,medium,0.21
3.25,92.9,7.7,6,5,No,medium,0.31
2.15,66.4,18.9,4,4,Yes,medium,0.47
3.59,73.5,10.1,5,3,No,medium,0.35
3.19,,12.0,3,9,No,medium,0.2
2.3,66.9,21.7,1,3,Yes,medium,0.41
1.78,67.3,14.4,2,6,Yes,medium,0.42
2.81,52.7,5.8,5,6,No,medium,0.4
3.08,100.0,7.7,10,10,No,medium,0.31
3.24,68.7,6.5,2,7,Yes,low,0.36
2.31,82.2,20.1,9,2,Yes,low,0.6
3.87,83.4,10.5,6,4,Yes,low,0.41
2.27,85.2,20.2,3,9,No,medium,0.27
2.88,70.4,8.7,7,9,No,medium,0.35
2.28,79.2,21.5,4,2,No,low,0.46
2.75,69.9,15.7,10,6,Yes,medium,0.51
3.87,60.0,25.8,7,8,No,medium,0.33
2.98,60.3,1.0,7,4,Yes,medium,0.49
3.24,70.8,19.2,8,2,No,low,0.5
4.0,79.6,6.7,2,3,Yes,high,0.25
3.35,67.2,14.0,7,2,No,medium,0.43
3.28,79.0,7.5,5,4,No,low,0.39
3.28,63.3,30.5,7,6,No,low,0.44
3.21,98.9,26.4,9,1,No,high,0.37
1.97,66.7,17.2,1,5,Yes,low,0.46
3.05,75.3,14.7,8,1,Yes,medium,0.52
2.08,73.6,8.6,6,8,No,high,0.34
1.77,37.9,13.8,10,1,No,medium,0.68
3.05,67.2,15.9,2,7,Yes,medium,0.33
1.97,78.0,21.9,2,8,No,high,0.25
2.18,93.7,20.3,5,5,Yes,medium,0.4
2.4,53.5,18.1,5,10,Yes,low,0.47
2.53,84.3,12.8,3,2,No,medium,0.36
3.88,50.2,21.7,1,5,Yes,medium,0.33
2.76,71.4,17.2,4,3,No,medium,0.38
3.11,62.1,10.1,3,9,No,low,0.33
3.18,70.8,29.0,7,6,Yes,high,0.37
1.93,84.2,17.2,4,6,No,high,0.31
3.75,77.2,8.2,3,2,Yes,medium,0.35
1.93,84.2,21.7,3,2,Yes,medium,0.45
3.83,66.7,2.4,9,9,No,medium,0.34
2.23,92.8,27.8,6,1,Yes,high,0.43
2.69,92.8,20.3,7,3,No,medium,0.39
3.13,71.4,8.1,2,10,Yes,high,0.22
2.31,90.8,14.3,2,5,No,high,0.24
3.18,93.8,22.6,4,1,No,high,0.28
2.4,73.1,9.7,2,6,Yes,medium,0.37
1.79,79.3,0.0,3,8,Yes,medium,0.38
2.23,66.8,3.5,8,3,No,medium,0.51
3.21,81.9,18.6,7,7,No,high,0.28
,93.0,12.5,4,7,No,medium,0.23
1.57,65.9,24.7,1,6,No,low,0.42
2.96,82.4,4.6,9,2,No,medium,0.46
3.57,68.4,20.7,6,10,Yes,medium,0.33
2.16,82.1,23.3,3,4,No,low,0.41
2.79,54.8,25.7,6,2,Yes,high,0.48
2.64,80.7,17.4,2,2,No,medium,0.34
3.09,89.8,12.3,9,10,No,medium,0.31
2.03,88.1,23.0,8,3,Yes,low,0.57
2.16,76.5,12.8,9,2,Yes,low,0.62
2.72,73.7,10.9,10,1,No,low,0.58
2.97,71.4,29.5,1,3,No,medium,0.31
,73.5,5.9,10,2,Yes,medium,0.57
3.87,52.3,19.1,5,1,No,LOW,0.36
2.65,67.0,13.4,10,5,Yes,medium,0.54
3.35,70.9,15.1,2,5,Yes,low,0.38
1.73,78.7,18.2,5,1,No, Medium,0.43
1.88,91.0,29.1,1,5,Yes,high,0.3
2.91,56.2,18.9,4,6,Yes,medium,0.42
1.81,86.3,18.0,6,3,Yes,medium,0.5
2.48,77.9,22.0,8,4,Yes,low,0.55
2.63,77.0,12.4,6,3,Yes,high,0.42
2.88,47.9,18.1,6,9,No,medium,0.39
2.26,76.7,10.3,2,1,Yes,medium,0.44
2.79,68.5,18.8,8,3,No,low,0.52
2.58,68.5,23.2,7,5,Yes,low,0.53
3.63,95.7,12.4,9,7,No,low,0.36
2.64,67.7,17.8,10,5,No,low,0.54
3.48,68.7,12.4,2,10,Yes,medium,0.25
2.22,74.3,16.1,8,6,Yes,high,0.45
1.96,82.8,10.5,4,1,No,low,0.49
2.25,47.4,12.3,7,3,Yes, Medium,0.59
2.49,65.6,9.9,5,6,No,medium,0.39
1.74,87.6,14.1,1,5,Yes,medium,0.37
2.66,61.6,18.3,10,7,No,medium,0.47
3.94,59.7,13.3,9,10,Yes,low,0.43
3.88,100.0,18.3,9,8,Yes, Medium,0.32
2.34,100.0,19.0,7,9,No,low,0.36
1.46,61.4,10.2,7,9,Yes,medium,0.51
2.43,74.4,6.6,8,5,Yes,medium,0.5
2.76,76.8,15.5,6,3,Yes,low,0.51
2.59,86.6,12.0,7,4,No,low,0.45
2.22,98.3,10.7,4,1,Yes,medium,0.43
2.1,66.4,0.0,7,2,No,low,0.56
2.98,71.3,13.8,1,5,No,high,0.23
2.96,70.0,12.9,9,2,No,high,0.44
1.31,67.7,30.1,7,4,No,medium,0.53
2.09,82.5,10.4,4,9,No,medium,0.31
3.61,84.5,7.4,3,2,No,high,0.24
2.31,77.9,13.5,5,4,No,medium,0.4
1.74,81.7,8.2,3,3,Yes,low,0.5
3.34,62.0,19.4,5,8,Yes,low,0.42
3.16,100.0,10.4,8,2,Yes,low,0.48
2.8,68.3,21.4,6,1,No,medium,0.46
3.09,76.6,32.1,10,7,Yes,medium,0.46
2.64,83.2,11.0,1,2,No,medium,0.32
3.16,43.8,5.2,9,3,Yes,medium,0.58
3.48,74.5,16.0,3,1,No,medium,0.34
2.2,58.1,24.7,9,5,Yes,medium,0.57
2.49,69.6,15.7,8,3,No,medium,0.49
4.0,65.8,16.6,5,3,No,medium,0.34
2.87,67.2,15.4,7,4,No,high,0.38
1.46,84.8,13.7,10,6,No,medium,0.51
1.81,86.4,22.0,8,5,Yes,medium,0.51
3.69,98.7,30.2,3,4,Yes,medium,0.27
2.38,71.3,17.8,1,1,No,medium,0.38
2.07,100.0,29.4,1,4,Yes,high,0.28
3.3,70.4,24.3,6,8,No,high,0.27
2.53,72.7,17.8,10,6,Yes,low,0.57
2.38,84.6,13.2,9,5,Yes,low,0.54
2.47,77.8,15.2,10,7,No,medium,0.45
2.82,94.9,,5,1,No,medium,0.37
2.67,84.6,23.5,4,8,No,medium,0.28
3.3,85.7,21.6,1,9,Yes,high,0.16
,54.8,19.4,3,3,Yes,high,0.37
2.56,88.0,29.6,8,8,Yes,low,0.46
2.57,80.0,15.4,5,4,No,low,0.43
1.68,60.5,27.1,8,9,Yes,medium,0.52
2.86,74.1,30.0,6,8,No,medium,0.34
4.0,74.8,10.8,9,5,No,medium,0.37
1.84,51.7,15.3,8,1,Yes,medium,0.65
3.16,62.2,13.6,4,6,No,medium,0.34
2.17,61.2,23.5,4,8,No,medium,0.37
2.92,56.3,7.6,8,10,No,medium,0.39
3.94,74.5,14.2,2,2,Yes,medium,0.33
2.6,61.4,7.8,5,6,No,medium,0.39
3.69,78.3,15.2,7,9,No,low,0.33
2.75,69.4,13.4,9,6,No,medium,0.44
3.89,84.1,15.4,9,9,Yes,medium,0.34
2.7,100.0,21.5,1,4,No,medium,0.24
3.4,90.2,26.4,1,3,No,medium,0.24
3.03,80.9,18.8,7,6,No,medium,0.36
2.27,74.9,16.6,8,4,Yes,medium,0.52
2.18,79.9,14.9,7,4,Yes,low,0.54
2.3,65.4,5.4,3,6,Yes,low,0.46
2.6,82.1,17.7,3,4,Yes,low,0.43
2.8,75.4,23.3,8,2,No,medium,0.47
3.45,68.8,10.3,10,7,No,medium,0.41
2.95,62.1,6.4,6,1,Yes,medium,0.52
2.65,72.2,,9,7,Yes,medium,0.48
,,19.1,6,8,No,low,0.34
3.84,44.4,32.9,5,7,No,high,0.29
1.57,74.0,13.1,9,4,No,medium,0.54
2.63,46.7,19.5,3,5,No,low,0.45
3.03,73.6,10.5,6,7,Yes,medium,0.39
2.46,79.3,20.4,3,2,No,low,0.43
3.56,64.4,15.9,5,3,No,medium,0.37
2.0,72.2,24.5,9,8,Yes,high,0.45
4.0,94.1,7.3,6,6,Yes,low,0.34
2.47,77.5,21.6,6,8,No,low,0.4
2.57,76.1,6.4,8,3,No,medium,0.46
2.72,55.8,13.6,5,2,No,high,0.41
2.94,66.3,22.3,3,1,No,medium,0.4
3.4,92.4,5.7,1,10,No,low,0.18
2.98,100.0,8.1,10,8,Yes,medium,0.39
2.71,86.8,20.1,3,7,Yes,high,0.27
3.07,55.8,19.6,10,5,Yes,medium,0.54
2.84,75.3,15.3,6,6,No,low,0.41
1.89,100.0,17.8,1,6,No,medium,0.26
3.02,60.3,11.6,1,10,No,medium,0.23
2.87,76.1,14.5,2,5,No,medium,0.3
,76.4,13.8,4,3,Yes, Medium,0.44
3.08,100.0,8.2,8,8,No,high,0.25
2.78,74.2,16.5,5,5,Yes,medium,0.42
2.72,98.2,15.8,4,6,No,high,0.22
2.61,76.9,23.4,1,9,Yes,low,0.33
2.35,69.7,17.4,4,4,Yes,high,0.4
3.47,83.9,15.2,5,3,Yes,medium,0.38
3.27,58.9,10.4,9,1,Yes,medium,0.56
3.41,67.2,10.3,8,5,No,high,0.35
2.94,64.1,31.2,10,8,No,low,0.49
2.79,78.1,11.1,10,1,No,medium,0.52
2.41,67.3,21.9,9,5,No,low,0.54
2.52,69.2,13.9,9,5,No,medium,0.47
2.04,88.2,2.7,1,3,Yes,medium,0.38
,71.1,13.9,6,10,Yes,low,0.49
4.0,60.4,1.0,4,5,No,high,0.25
3.39,55.8,20.9,4,6,Yes,medium,0.39
3.15,63.0,27.0,3,9,No,medium,0.27
3.26,81.0,21.3,7,8,Yes,medium,0.36
3.01,76.9,17.6,7,5,Yes,medium,0.43
2.61,53.3,21.0,7,9,No,medium,0.41
2.41,83.5,24.0,1,10,Yes,high,0.21
3.17,71.5,26.2,2,3,No,medium,0.32
2.93,78.4,22.3,2,5,No,medium,0.29
3.04,83.8,24.1,5,4,No,high,0.29
3.13,74.6,30.8,10,2,Yes,medium,0.54
3.75,68.9,7.2,6,8,Yes,low,0.39
2.43,87.5,13.2,8,1,No,high,0.42
2.57,64.1,6.4,6,8,Yes,low,0.48
2.87,75.8,14.6,5,4,No,medium,0.37
2.81,80.0,8.5,8,10,No,high,0.28
2.05,67.1,21.4,8,1,Yes,medium,0.6
3.38,63.3,13.0,6,2,No,high,0.37
3.44,68.1,22.2,9,3,No,medium,0.45
2.85,97.9,18.0,9,9,No,medium,0.32
1.94,55.6,19.9,10,10,Yes,medium,0.54
2.41,71.8,16.2,8,2,No,medium,0.5
3.3,42.0,10.9,6,1,No,medium,0.49
3.02,65.7,6.8,3,9,Yes,medium,0.32
3.35,66.8,31.0,6,8,No,high,0.27
2.99,53.9,9.7,4,5,No,high,0.33
2.94,74.3,12.2,3,5,Yes,medium,0.37
2.59,96.6,14.7,3,5,No,high,0.23
3.24,85.8,16.3,4,7,Yes,medium,0.31
2.69,81.2,22.8,5,4,Yes,medium,0.42
1.96,81.7,19.7,10,10,No,high,0.37
3.61,74.5,5.3,8,10,Yes,medium,0.35
3.81,85.6,22.6,2,8,No,medium,0.17
2.84,79.2,21.1,2,10,No,medium,0.21
2.95,85.6,9.0,1,7,Yes,medium,0.27
3.91,80.7,20.0,9,2,Yes,low,0.5
2.78,88.1,23.2,8,6,No,medium,0.38
2.92,83.9,3.8,3,7,Yes,medium,0.31
2.64,65.2,19.9,8,2,No,medium,0.5
3.04,91.9,0.0,5,3,Yes,medium,0.39
2.23,100.0,14.5,3,8,No,medium,0.25
3.2,78.2,6.3,5,7,Yes,high,0.3
3.18,62.5,11.3,3,1,No,medium,0.39
2.22,84.5,16.3,8,3,No,medium,0.46
2.14,64.6,19.1,3,10,No,low,0.36
2.83,94.2,20.0,7,5,Yes,low,0.45
3.26,55.0,13.9,2,6,Yes,medium,0.36
2.77,79.9,15.5,4,7,No,high,0.25
1.98,85.9,14.6,5,5,Yes,medium,0.44
2.7,86.2,25.5,3,9,Yes,low,0.34
3.08,53.9,4.1,9,1,Yes,high,0.54
2.75,44.4,5.9,9,10,Yes,medium,0.5
2.36,50.1,0.0,1,8,No,medium,0.33
2.42,63.6,27.1,4,9,No,medium,0.33
1.38,78.8,26.7,3,3,Yes,medium,0.48
3.71,100.0,24.6,7,3,Yes,medium,0.36
4.0,74.5,25.3,4,10,Yes,high,0.19
1.19,64.8,10.7,9,2,No,medium,0.61
2.69,87.5,2.1,9,2,Yes,medium,0.51
3.38,41.8,,10,5,No,low,0.56
3.14,82.3,4.0,10,8,No,medium,0.38
3.67,62.7,10.4,2,9,No,medium,0.22
2.96,79.3,14.8,1,1,No,medium,0.32
